Wavelength	Smoothed_Intensity
899.000000	0.000003
900.000000	0.000003
901.000000	0.000003
902.000000	0.000004
903.000000	0.000004
904.000000	0.000004
905.000000	0.000004
906.000000	0.000005
907.000000	0.000005
908.000000	0.000005
909.000000	0.000006
910.000000	0.000006
911.000000	0.000006
912.000000	0.000006
913.000000	0.000006
914.000000	0.000006
915.000000	0.000006
916.000000	0.000006
917.000000	0.000006
918.000000	0.000006
919.000000	0.000006
920.000000	0.000006
921.000000	0.000007
922.000000	0.000007
923.000000	0.000007
924.000000	0.000007
925.000000	0.000007
926.000000	0.000007
927.000000	0.000008
928.000000	0.000008
929.000000	0.000008
930.000000	0.000008
931.000000	0.000008
932.000000	0.000008
933.000000	0.000008
934.000000	0.000008
935.000000	0.000008
936.000000	0.000008
937.000000	0.000008
938.000000	0.000008
939.000000	0.000008
940.000000	0.000008
941.000000	0.000008
942.000000	0.000008
943.000000	0.000008
944.000000	0.000008
945.000000	0.000008
946.000000	0.000008
947.000000	0.000008
948.000000	0.000008
949.000000	0.000008
950.000000	0.000008
951.000000	0.000008
952.000000	0.000008
953.000000	0.000008
954.000000	0.000008
955.000000	0.000008
956.000000	0.000008
957.000000	0.000008
958.000000	0.000008
959.000000	0.000008
960.000000	0.000007
961.000000	0.000007
962.000000	0.000007
963.000000	0.000007
964.000000	0.000007
965.000000	0.000006
966.000000	0.000006
967.000000	0.000006
968.000000	0.000006
969.000000	0.000006
970.000000	0.000006
971.000000	0.000006
972.000000	0.000006
973.000000	0.000005
974.000000	0.000005
975.000000	0.000005
976.000000	0.000005
977.000000	0.000005
978.000000	0.000005
979.000000	0.000005
980.000000	0.000005
981.000000	0.000004
982.000000	0.000004
983.000000	0.000005
984.000000	0.000005
985.000000	0.000005
986.000000	0.000005
987.000000	0.000005
988.000000	0.000005
989.000000	0.000005
990.000000	0.000005
991.000000	0.000004
992.000000	0.000004
993.000000	0.000004
994.000000	0.000004
995.000000	0.000003
996.000000	0.000003
997.000000	0.000003
998.000000	0.000003
999.000000	0.000002
1000.000000	0.000002
1001.000000	0.000002
1002.000000	0.000002
1003.000000	0.000002
