Wavelength	Smoothed_Intensity
899.0	1.7055854259e-06
900.0	1.9407210804e-06
901.0	2.1530551685e-06
902.0	2.3446959497e-06
903.0	2.5177516834e-06
904.0	2.6743306292e-06
905.0	2.8165410465e-06
906.0	2.9464911948e-06
907.0	3.0662893334e-06
908.0	3.1780437220e-06
909.0	3.2838626198e-06
910.0	3.3903125237e-06
911.0	3.5155202723e-06
912.0	3.6488564926e-06
913.0	3.8344016813e-06
914.0	3.8470216780e-06
915.0	3.9162517156e-06
916.0	4.1335403756e-06
917.0	4.2604347368e-06
918.0	4.3497699412e-06
919.0	4.2659491899e-06
920.0	4.1777751085e-06
921.0	4.2220244766e-06
922.0	4.2817639137e-06
923.0	4.3473469624e-06
924.0	4.4879738346e-06
925.0	4.4756066862e-06
926.0	4.4825755858e-06
927.0	4.5792226254e-06
928.0	4.4976714652e-06
929.0	4.6284951958e-06
930.0	4.7767093057e-06
931.0	4.8303233066e-06
932.0	4.9852136966e-06
933.0	5.1323470801e-06
934.0	5.2181646532e-06
935.0	5.5457417565e-06
936.0	5.8421626466e-06
937.0	5.8084694158e-06
938.0	5.9566559425e-06
939.0	5.9058562514e-06
940.0	5.9611196914e-06
941.0	6.0728267895e-06
942.0	6.1728231030e-06
943.0	6.2964901007e-06
944.0	6.4770997604e-06
945.0	6.4355191193e-06
946.0	6.5400170052e-06
947.0	6.6514235521e-06
948.0	6.6927227718e-06
949.0	6.7989173400e-06
950.0	6.9637945891e-06
951.0	7.0295975008e-06
952.0	7.1713657980e-06
953.0	7.2961655499e-06
954.0	7.4232701242e-06
955.0	7.5954093946e-06
956.0	7.6391680366e-06
957.0	7.6825840837e-06
958.0	7.8477111049e-06
959.0	7.8943433841e-06
960.0	8.1175768683e-06
961.0	8.1460141246e-06
962.0	8.1972044747e-06
963.0	8.2519956188e-06
964.0	8.2840290696e-06
965.0	8.1517629500e-06
966.0	8.2355244622e-06
967.0	8.3031950105e-06
968.0	8.3331634600e-06
969.0	8.4434250121e-06
970.0	8.6365221458e-06
971.0	8.7028991210e-06
972.0	8.7370392632e-06
973.0	8.7584900830e-06
974.0	8.9079932164e-06
975.0	9.0492180105e-06
976.0	9.1187401811e-06
977.0	9.0972115387e-06
978.0	9.0877815822e-06
979.0	9.1092200098e-06
980.0	8.9533853302e-06
981.0	8.8418228424e-06
982.0	8.7052533769e-06
983.0	8.4964890520e-06
984.0	8.4885225129e-06
985.0	8.3005782923e-06
986.0	8.2442430870e-06
987.0	8.2272460886e-06
988.0	8.1723503880e-06
989.0	8.2833923207e-06
990.0	8.3827367669e-06
991.0	8.3313904567e-06
992.0	8.4980758104e-06
993.0	8.6841974675e-06
994.0	8.9380519366e-06
995.0	9.0480929673e-06
996.0	9.0866242828e-06
997.0	9.1841813619e-06
998.0	9.4569020680e-06
999.0	9.4878413347e-06
1000.0	9.5745686872e-06
1001.0	9.8966347421e-06
1002.0	9.9652585364e-06
1003.0	1.0115851333e-05
1004.0	1.0544265515e-05
1005.0	1.0691924788e-05
1006.0	1.0925766154e-05
1007.0	1.1097729391e-05
1008.0	1.1316300936e-05
1009.0	1.1568278588e-05
1010.0	1.1779961866e-05
1011.0	1.1903196309e-05
1012.0	1.2162393527e-05
1013.0	1.2298007171e-05
1014.0	1.2392072145e-05
1015.0	1.2570391463e-05
1016.0	1.2725471105e-05
1017.0	1.2963922058e-05
1018.0	1.3057327787e-05
1019.0	1.3113306862e-05
1020.0	1.3337944858e-05
1021.0	1.3538943089e-05
1022.0	1.3700405989e-05
1023.0	1.3953327234e-05
1024.0	1.4457607663e-05
1025.0	1.4922227159e-05
1026.0	1.5244840696e-05
1027.0	1.5544902854e-05
1028.0	1.5977983008e-05
1029.0	1.6360812243e-05
1030.0	1.6562511880e-05
1031.0	1.6600328931e-05
1032.0	1.6666679935e-05
1033.0	1.6718087692e-05
1034.0	1.6678967424e-05
1035.0	1.6566692909e-05
1036.0	1.6432829539e-05
1037.0	1.6229563269e-05
1038.0	1.5905983540e-05
1039.0	1.5654732229e-05
1040.0	1.5321805806e-05
1041.0	1.5111728676e-05
1042.0	1.5114597532e-05
1043.0	1.5217605973e-05
1044.0	1.5367083815e-05
1045.0	1.5384330471e-05
1046.0	1.5412368359e-05
1047.0	1.5544997300e-05
1048.0	1.5851531200e-05
1049.0	1.6090302795e-05
1050.0	1.6440527931e-05
1051.0	1.6727577172e-05
1052.0	1.6897100827e-05
1053.0	1.7249325348e-05
1054.0	1.7498874979e-05
1055.0	1.7629082409e-05
1056.0	1.7883019072e-05
1057.0	1.8056732167e-05
1058.0	1.8296371092e-05
1059.0	1.8596792694e-05
1060.0	1.8716160484e-05
1061.0	1.9023662115e-05
1062.0	1.9210302726e-05
1063.0	1.9258503478e-05
1064.0	1.9010132223e-05
1065.0	1.8968707597e-05
1066.0	1.9091947869e-05
1067.0	1.8962771507e-05
1068.0	1.9025011909e-05
1069.0	1.9209555276e-05
1070.0	1.9382202864e-05
1071.0	1.9285424194e-05
1072.0	1.9241658660e-05
1073.0	1.9686947421e-05
1074.0	2.0007561608e-05
1075.0	2.0306171043e-05
1076.0	2.0687931618e-05
1077.0	2.1083284626e-05
1078.0	2.1426233812e-05
1079.0	2.1589066845e-05
1080.0	2.1533630026e-05
1081.0	2.1828999601e-05
1082.0	2.1942602347e-05
1083.0	2.1866122818e-05
1084.0	2.1536859121e-05
1085.0	2.1240271242e-05
1086.0	2.0721580634e-05
1087.0	2.0044804573e-05
1088.0	1.9593926103e-05
1089.0	1.9264498006e-05
1090.0	1.8815210343e-05
1091.0	1.8416827941e-05
1092.0	1.8143261556e-05
1093.0	1.8005906708e-05
1094.0	1.7795720229e-05
1095.0	1.7511918944e-05
1096.0	1.7212422749e-05
1097.0	1.7024554887e-05
1098.0	1.6856270592e-05
1099.0	1.6726056254e-05
1100.0	1.6547224541e-05
1101.0	1.6746612713e-05
1102.0	1.6608958245e-05
1103.0	1.6327225119e-05
1104.0	1.6033566698e-05
1105.0	1.5993721523e-05
1106.0	1.5840100781e-05
1107.0	1.5755296960e-05
1108.0	1.5781317339e-05
1109.0	1.5772309408e-05
1110.0	1.5793050297e-05
1111.0	1.5584134276e-05
1112.0	1.5457051631e-05
1113.0	1.5444695963e-05
1114.0	1.5411674770e-05
1115.0	1.5259982210e-05
1116.0	1.5026833197e-05
1117.0	1.4863860111e-05
1118.0	1.4639238362e-05
1119.0	1.4474689264e-05
1120.0	1.4223672102e-05
1121.0	1.4202270258e-05
1122.0	1.3977732399e-05
1123.0	1.3970219663e-05
1124.0	1.3881021471e-05
1125.0	1.3910727313e-05
1126.0	1.3812069768e-05
1127.0	1.3776880781e-05
1128.0	1.3652298908e-05
1129.0	1.3412012746e-05
1130.0	1.3465718990e-05
1131.0	1.3457854671e-05
1132.0	1.3587650958e-05
1133.0	1.3501863181e-05
1134.0	1.3358666335e-05
1135.0	1.3163266241e-05
1136.0	1.3072329993e-05
1137.0	1.2891858078e-05
1138.0	1.2848969568e-05
1139.0	1.2943901474e-05
1140.0	1.2905012749e-05
1141.0	1.2644664528e-05
1142.0	1.2519599134e-05
1143.0	1.2571399382e-05
1144.0	1.2345250294e-05
1145.0	1.2324398267e-05
1146.0	1.2374410611e-05
1147.0	1.2431865492e-05
1148.0	1.2463264825e-05
1149.0	1.2439396518e-05
1150.0	1.2549177195e-05
1151.0	1.2782871334e-05
1152.0	1.2828675914e-05
1153.0	1.2856091036e-05
1154.0	1.2887583446e-05
1155.0	1.3169426234e-05
1156.0	1.3565643946e-05
1157.0	1.3508201517e-05
1158.0	1.3660673697e-05
1159.0	1.3701282811e-05
1160.0	1.3683022354e-05
1161.0	1.3602733527e-05
1162.0	1.3735644103e-05
1163.0	1.3725149660e-05
1164.0	1.3495474204e-05
1165.0	1.3577273383e-05
1166.0	1.3490790418e-05
1167.0	1.3421494603e-05
1168.0	1.3389321200e-05
1169.0	1.3045212507e-05
1170.0	1.2936989160e-05
1171.0	1.2989462056e-05
1172.0	1.2899614292e-05
1173.0	1.2865553253e-05
1174.0	1.2918182272e-05
1175.0	1.2839230258e-05
1176.0	1.2827829611e-05
1177.0	1.2599042285e-05
1178.0	1.2639139797e-05
1179.0	1.2667506002e-05
1180.0	1.2724098310e-05
1181.0	1.2758410732e-05
1182.0	1.2577659941e-05
1183.0	1.2454569108e-05
1184.0	1.2578583125e-05
1185.0	1.2714954688e-05
1186.0	1.2767603665e-05
1187.0	1.2978302851e-05
1188.0	1.3241013200e-05
1189.0	1.3323110101e-05
1190.0	1.3634087466e-05
1191.0	1.3799015629e-05
1192.0	1.4148736283e-05
1193.0	1.4477283227e-05
1194.0	1.4922179215e-05
1195.0	1.5060832161e-05
1196.0	1.5515145561e-05
1197.0	1.5842421180e-05
1198.0	1.6302756192e-05
1199.0	1.6586533155e-05
1200.0	1.6748246022e-05
1201.0	1.6984669686e-05
1202.0	1.7034324080e-05
1203.0	1.7012965132e-05
1204.0	1.6954115351e-05
1205.0	1.6746422072e-05
1206.0	1.6476920342e-05
1207.0	1.6154024781e-05
1208.0	1.5786150010e-05
1209.0	1.5381710650e-05
1210.0	1.4949121320e-05
1211.0	1.4496796641e-05
1212.0	1.4033151234e-05
1213.0	1.3566599718e-05
1214.0	1.3105556714e-05
